"","MS245","MS374","MS371","MS348","MS352"
"Q99798",19.9801825776923,20.303955755997,20.1544493733602,19.9959765604127,20.5227062940137
"P05091",20.546703756314,20.976667689604,20.4683868033023,21.0381881114835,21.1352970440494
"P00338;Q6ZMR3;Q9BYZ2",21.3507154177138,21.4671499291626,21.9838688916722,21.9027497327042,21.687249991226
"P48735",19.3394136527023,19.8192325987788,19.6930039515519,20.068947093791,19.8398331786738
"P68871;P02042;P02100",24.2897262804814,23.9062685303,23.6565050071395,23.2181083991615,23.2797288378053
"P40926;P10635",21.2599906996699,22.0204448267447,21.734511528446,21.1245521403201,21.0898794775299
"Q16181;Q6ZU15",20.5167108555349,20.1279913547942,20.373823457881,20.3817418452989,20.4106644820479
"P49419",20.3781812098374,20.6475990666629,20.72645747691,20.6522113072262,20.7709258593557
"P09972;P05062",22.6520628149041,23.0085936191223,22.8802467362374,22.5947536136844,22.7392589800468
"P09936",22.5897304521324,22.8530329238481,22.5778871704938,22.814887055396,22.953160445456
"P60174",22.9327193948345,22.9630320332356,23.1463260364021,23.0847948619079,22.9200704706989
"P55786;A6NEC2",19.8219460890039,19.8633554528058,19.9963174638817,20.1625602508115,20.1543360258416
"P04083",20.6107774768012,20.2278522051266,21.270108313385,21.0618670505551,21.195478118292
"O94856",19.5057791215699,19.4657911829882,19.2551052929167,19.2534326402475,19.0088691276743
"P22695",19.4188757359448,19.886076069421,19.7297298635759,19.2701079435053,19.2188070072697
"Q01518",20.0103301127983,19.910987993148,19.956454160023,19.8732328888415,20.1110304053315
"O43175",20.9532212380811,20.9353210273039,21.1795867723084,21.6483109718178,21.4044406072819
"Q9Y490;Q9H427",18.6800787526101,18.1281810617685,19.1651736940733,18.7207302533572,18.4432304454862
"P30101",19.7469566120845,19.8406102455493,19.9229210026264,19.9382278208121,19.9849496420882
"P60201",25.8900799021009,25.931236553827,25.2829271415832,25.6119655299273,25.6161650289754
"P21810;O75460;P26358",20.5374303206738,20.5423413577223,20.1661115536499,17.6390704401135,17.6473161423963
"P02686",24.0007256753151,23.8787342657744,22.9636171631299,23.3702583808852,23.9407838522007
"P01024",18.3544566390043,18.9692561085429,18.9056783299021,17.8588155902521,18.0348240527506
"P13637",20.9970708175636,21.2217745273445,20.6825709464888,20.169840828401,20.5653329679262
"P41219;Q02241;Q8TES7",20.1342985304409,20.6970882203449,19.8034219068614,20.1742969216112,19.295039287274
"P61764",19.0805676382007,19.7432880301902,19.0255728970776,18.805516855219,19.1610390640681
"P00352",20.9002652643059,20.873507897143,20.4759182362368,20.2978181917983,20.735079849518
"P28838",20.3314937909911,19.9701468286261,20.6022640810209,20.6882138285572,20.3699408790447
"P35611",19.5905966628251,19.7858333268291,19.7395501293616,20.1950682083104,19.7678569576339
